"","p","d","q","Mean Error","Root Mean Squared Error","Mean Absolute Error","Mean Percentage Error","Mean Absolute Percentage Error","Mean Absolute Scaled Error","Autocorrelation of errors at lag 1"
"1",0,0,0,-5.57043641978597e-12,65.7512684135725,60.0013179281236,-468.562728068715,507.700426851376,3.83139591603037,0.933907101930543
"2",0,0,1,0.00704449744939049,40.3443854498046,34.5419402818181,-265.278513394185,288.552324173402,2.20568236661167,0.614090859394
"3",0,0,2,0.0050201018924644,31.1063622917532,25.15351340735,-179.672585499285,198.215335613813,1.6061825284935,0.360662010298135
"4",0,0,3,0.00873556583705201,26.8465173844014,20.8833234380253,-137.634640626379,154.04587020665,1.33350871108263,0.20788162202661
"5",0,0,4,0.0100063786113719,24.422654361488,18.4254159206671,-112.268708454949,127.753260308048,1.17655854483349,0.155544109903256
"6",0,0,5,0.0123641953645015,22.9380775230394,16.7088395410951,-93.6862807496236,109.257311837868,1.06694622368207,0.0814264634279821
"7",0,0,6,0.0129460608864632,22.3609375330476,16.0487196152797,-81.0189475562931,97.4917558594355,1.02479413644143,0.0303026368015083
"8",0,0,7,0.0125266160084479,22.1237660344894,15.6526990968832,-74.900996186096,91.4351230669276,0.999506168622684,0.0208920718350204
"9",0,0,8,0.0121356328252279,21.9145625496321,15.3212776796603,-68.2111068082188,85.2482994667202,0.978343189070238,0.00933166344851632
"10",0,0,9,0.0119321209492737,21.8647812776021,15.2126885816937,-66.3345600843235,83.4538970691803,0.971409210937074,0.00499050489934068
"11",0,0,10,0.0162184184826186,21.6578491564166,14.7444515949599,-57.4898860032456,77.2017904944174,0.94150984637886,0.0506036188418741
"12",0,0,11,0.0191912963488374,21.2897630584352,14.3716153591623,-48.3551894134301,69.9854812475572,0.917702315469385,0.0170991077762162
"13",0,0,12,0.0190756487520168,21.1292331376119,14.2175718969777,-42.7451582032518,64.9962378016825,0.907865840000426,0.00850855651125989
"14",0,0,13,0.0205652940655166,21.0634569083557,14.0742812122369,-38.9062150662359,62.3943142574736,0.898715985242587,0.00414887683688749
"15",0,0,14,0.166087537022658,21.0064142957968,13.9592276653969,-33.0941604192585,61.6114765770156,0.89136921845964,0.00636977056021117
"16",0,0,15,0.179226186491877,20.9796129752365,13.8772085939947,-30.2962670228813,60.2474434137328,0.886131874580236,3.03325053628973e-05
"17",0,1,0,0.00220454545197474,23.8662727227962,15.6546972140737,-19.3449939735017,47.2798292726769,0.999633758787499,0.262068257368844
"18",0,1,1,0.00215824381071282,23.247212769388,15.3401759295899,-15.8203262264255,47.44998688648,0.979549940523383,0.0365267771173923
"19",0,1,2,0.00191978762998427,22.8570062216033,15.0115667553692,-12.5190523278449,46.3782488164303,0.958566537299017,0.0236432070311008
"20",0,1,3,0.0023207471945687,22.6257929146538,14.7671493821604,-9.93520358639858,46.6643819471853,0.942959218029113,0.00482539301032105
"21",0,1,4,0.0026927715695937,22.6150603709539,14.7460758406703,-9.25983494006781,46.3405487919901,0.941613562907036,-0.00146308283033916
"22",0,1,5,0.00274202193313639,22.5898367165973,14.7498114169958,-10.310726853469,46.8057161335263,0.941852098865442,0.00293921809958564
"23",0,1,6,0.00747483407052106,22.5348459591734,14.7860888917809,-13.6747658264401,48.5023744018373,0.944168604127912,0.000936572313197278
"24",0,1,7,0.0110430641444726,22.530161896145,14.86237573583,-17.9774955044252,50.2694058068662,0.949039915506216,0.00108097977482383
"25",0,1,8,-0.227278032566393,22.1237712212495,15.698642480332,-76.9255896499409,93.1885476001583,1.00243989237731,0.020796214773771
"26",0,1,9,-0.202440314261157,21.9145591018952,15.3597148155771,-69.9567091894639,86.724218291775,0.980797599917549,0.00911540443825865
"27",0,1,10,-0.195535508507753,21.8647836400096,15.2525656759578,-68.0033472225554,84.8771396109717,0.973955570606867,0.00480200689076882
"28",0,1,11,-0.167715076694026,21.6578412935309,14.7840351303854,-58.8719988705991,78.2329859988244,0.944037460791484,0.0505540188963355
"29",0,1,12,-0.128806310101974,21.2897546282883,14.3956615953411,-49.4099211014021,70.6007180478956,0.919237792593432,0.0169320566973315
"30",0,1,13,-0.113404731845931,21.1292276563852,14.2407428984586,-43.6533208039987,65.5161489662741,0.909345428841299,0.00833291209526068
"31",0,1,14,-0.102511760821578,21.0634601785977,14.094609022447,-39.7697907404705,62.8095876901293,0.900014021547627,0.0043770620949087
"32",0,1,15,-0.0961258518652982,21.0055823680337,13.9995010579601,-34.8456232436221,62.4965086013361,0.893940883834991,0.00473480288276278
"33",1,0,0,-0.00365309210415984,23.4723799337129,15.726164561498,-49.0132615761581,66.6759103354145,1.00419732026425,0.284993643797369
"34",1,0,1,-0.003140296861492,22.7234085332299,15.3075446772449,-49.3444220402633,67.114397275578,0.977466265509453,0.0475217509926246
"35",1,0,2,-0.00271807860548791,22.2138362033934,14.9412243159698,-48.9604272771143,67.283099970259,0.954074807044672,0.0355482669468498
"36",1,0,3,-0.00165223136133912,21.8183743020463,14.664457251397,-49.9398440308666,68.277221634956,0.936401791892465,0.0205640867538529
"37",1,0,4,0.000693159378333429,21.695260387735,14.6157758418007,-51.6301037059671,69.684596723053,0.933293230941568,0.00362495070900459
"38",1,0,5,0.00227418650054846,21.6842557261725,14.6391671140288,-52.5263837087771,70.5270417057555,0.934786885214173,-0.000323654781937107
"39",1,0,6,0.00505138518520409,21.6812646094984,14.6348461992802,-52.353511415196,70.4125370202398,0.934510972356043,-0.000379170062892133
"40",1,0,7,0.00945071829142132,21.663014255025,14.5681816245255,-51.3740419874485,69.4777389899649,0.930254092869411,0.0037055734628956
"41",1,0,8,0.00561769102712566,21.526346702875,14.3106904556133,-39.3380673863423,61.4150769067565,0.913811943812522,0.0209041734925361
"42",1,0,9,0.000282953299279823,21.3230588793996,14.1611687886595,-36.5125325712452,61.0758208767916,0.904264208464253,0.0169069723195732
"43",1,0,10,0.00564353065843492,21.1550079555701,14.0988581781497,-36.3106655043815,62.091795739069,0.90028535221782,0.00739271222308136
"44",1,0,11,0.0120906747645704,21.1064080380545,14.0339237683095,-35.2267365170043,60.6466063424637,0.896138952750899,0.00468888523018795
"45",1,0,12,0.00593011002650087,21.0391226552634,13.9531738833638,-31.9499917725541,59.8300944627244,0.89098265302143,0.00411803800248269
"46",1,0,13,0.0584319123490887,21.0033414706402,13.8895953861644,-31.1908443877273,59.6511611624438,0.886922835621932,0.00232753938571821
"47",1,0,14,0.029889231257174,20.9874694728659,13.9016819474047,-31.7413743059102,60.5932989288337,0.887694625358794,0.00126672035383815
"48",1,0,15,0.016264510181881,20.978783443739,13.8920939580739,-31.5996101222655,60.7044129528293,0.887082382420912,0.000429353354402486
"49",1,1,0,0.00195485041446929,23.032120810239,15.1988559078735,-13.2292173807033,47.0781238486327,0.970525922839202,-0.0420744248520722
"50",1,1,1,0.000159314857725261,22.8034789809007,14.9610280192715,-7.82820857332611,45.4998059560346,0.95533937640035,-0.0245191968094395
"51",1,1,2,0.00165748664386785,22.6900888855772,14.7958870821139,-8.91723806836164,45.4806667905362,0.944794269491984,0.00534924328668918
"52",1,1,3,0.00251512059731351,22.6195256558459,14.75382802963,-9.49934301219466,46.4605008498239,0.942108580452419,0.00114397719001503
"53",1,1,4,0.0026480777516012,22.6098301761265,14.7422275640098,-9.28176742614407,46.3573142407096,0.941367830446653,-0.00146740046931417
"54",1,1,5,-0.118868194917246,21.6952586745065,14.6313699675358,-52.2856393483863,70.2228919553299,0.93428899689669,0.00329772970865783
"55",1,1,6,-0.125813780220459,21.6842535396634,14.6583245962238,-53.268985297287,71.1368706458645,0.936010189994434,-0.000576777056288482
"56",1,1,7,-0.122571759949561,21.6812789263305,14.6544773192275,-53.0904970328322,71.0188618680836,0.935764521367804,-0.000620232100865885
"57",1,1,8,-0.122757218734527,21.663025862453,14.5885928847459,-52.1758720398819,70.1315362063871,0.931557457891214,0.003351075491744
"58",1,1,9,-0.0954484299934485,21.5263384010882,14.3243622788783,-39.7786258302191,61.7026809934645,0.914684960766665,0.0207000489136311
"59",1,1,10,-0.0882221824573892,21.3230482335558,14.1735799686206,-36.8887633768621,61.2734643609503,0.905056726793152,0.0166642331414893
"60",1,1,11,-0.0907021910856372,21.1550004493921,14.1106542572191,-36.7688638063791,62.2733259436717,0.901038593158727,0.00713387730903526
"61",1,1,12,-0.088682224417167,21.1064017137526,14.0460589661276,-35.7147789134911,60.8603511779406,0.896913848185967,0.00443995237358418
"62",1,1,13,-0.0857606090098507,21.0390962217856,13.9642030151846,-32.3672044832568,59.9501159421703,0.891686920395457,0.00384143581630263
"63",1,1,14,-0.0860565231791381,21.0032818914095,13.9074678204437,-32.0985309840705,60.005328944108,0.888064083415678,0.00209944253080692
"64",1,1,15,-0.0885818641813308,20.9874761395544,13.9143935439116,-32.4068477586222,60.8080162434634,0.888506326845105,0.000967146730202292
"65",2,0,0,-0.00304673933627636,22.3532777249228,15.0760048698488,-50.9146509237803,68.6057572556976,0.962681245728412,-0.0707575243065628
"66",2,0,1,-0.0121306199092395,21.491129549404,14.5937256258041,-53.3426432252716,72.2320589417712,0.931885210077457,-0.0190779437552707
"67",2,0,2,-0.0110795892646344,21.4820063937502,14.587469790458,-53.7025225316163,72.4652469621956,0.931485742485342,-0.00072160732690192
